"Year,Value"
"197004,0.06"
"197005,0.07"
"197006,0.05"
"197007,-0.04"
"197008,0.04"
"197009,0.01"
"197010,-0.04"
"197011,-0.01"
"197012,-0.08"
"197101,-0.13"
"197102,-0.14"
"197103,-0.14"
"197104,-0.15"
"197105,-0.15"
"197106,-0.16"
"197107,-0.07"
"197108,-0.14"
"197109,-0.22"
"197110,-0.26"
"197111,-0.26"
"197112,-0.23"
"197201,-0.24"
"197202,-0.11"
"197203,-0.11"
"197204,-0.04"
"197205,-0.01"
"197206,0.01"
"197207,0.10"
"197208,0.00"
"197209,-0.03"
"197210,0.02"
"197211,0.00"
"197212,0.11"
"197301,0.10"
"197302,0.14"
"197303,0.09"
"197304,0.09"
"197305,0.09"
"197306,0.06"
"197307,0.04"
"197308,0.00"
"197309,-0.05"
"197310,-0.09"
"197311,-0.08"
"197312,-0.19"
"197401,-0.12"
"197402,-0.14"
"197403,-0.10"
"197404,-0.20"
"197405,-0.17"
"197406,-0.16"
"197407,-0.11"
"197408,-0.05"
"197409,-0.07"
"197410,-0.11"
"197411,-0.16"
"197412,-0.15"
"197501,-0.10"
"197502,-0.01"
"197503,-0.08"
"197504,-0.11"
"197505,-0.09"
"197506,-0.12"
"197507,-0.09"
"197508,-0.10"
"197509,-0.16"
"197510,-0.21"
"197511,-0.29"
"197512,-0.23"
"197601,-0.23"
"197602,-0.23"
"197603,-0.12"
"197604,-0.10"
"197605,-0.21"
"197606,-0.12"
"197607,-0.11"
"197608,-0.08"
"197609,-0.12"
"197610,-0.08"
"197611,-0.07"
"197612,-0.05"
"197701,0.17"
"197702,0.00"
"197703,-0.01"
"197704,0.02"
"197705,0.08"
"197706,0.12"
"197707,0.14"
"197708,0.18"
"197709,0.21"
"197710,0.16"
"197711,0.09"
"197712,0.14"
"197801,0.20"
"197802,0.12"
"197803,0.08"
"197804,0.02"
"197805,-0.02"
"197806,-0.03"
"197807,0.06"
"197808,0.02"
"197809,0.04"
"197810,0.04"
"197811,0.06"
"197812,0.09"
"197901,0.20"
"197902,-0.02"
"197903,0.11"
"197904,0.09"
"197905,0.06"
"197906,0.16"
"197907,0.13"
"197908,0.18"
"197909,0.21"
"197910,0.16"
"197911,0.19"
"197912,0.26"
"198001,0.31"
"198002,0.29"
"198003,0.24"
"198004,0.13"
"198005,0.21"
"198006,0.22"
"198007,0.20"
"198008,0.18"
"198009,0.15"
"198010,0.05"
"198011,0.01"
"198012,0.07"
"198101,0.26"
"198102,0.22"
"198103,0.24"
"198104,0.19"
"198105,0.19"
"198106,0.24"
"198107,0.15"
"198108,0.13"
"198109,0.18"
"198110,0.21"
"198111,0.24"
"198112,0.28"
"198201,0.13"
"198202,0.21"
"198203,0.20"
"198204,0.14"
"198205,0.18"
"198206,0.15"
"198207,0.06"
"198208,0.04"
"198209,0.07"
"198210,0.14"
"198211,0.12"
"198212,0.20"
"198301,0.23"
"198302,0.14"
"198303,0.23"
"198304,0.16"
"198305,0.16"
"198306,0.20"
"198307,0.16"
"198308,0.13"
"198309,0.17"
"198310,0.09"
"198311,0.12"
"198312,0.14"
"198401,0.16"
"198402,0.09"
"198403,0.12"
"198404,0.02"
"198405,0.14"
"198406,0.08"
"198407,0.14"
"198408,0.07"
"198409,0.12"
"198410,0.03"
"198411,-0.02"
"198412,-0.05"
"198501,-0.03"
"198502,-0.01"
"198503,-0.03"
"198504,-0.14"
"198505,0.00"
"198506,0.05"
"198507,0.04"
"198508,0.00"
"198509,0.10"
"198510,0.03"
"198511,0.15"
"198512,0.14"
"198601,0.02"
"198602,0.12"
"198603,0.02"
"198604,0.09"
"198605,0.17"
"198606,0.14"
"198607,0.10"
"198608,0.14"
"198609,0.12"
"198610,0.12"
"198611,0.13"
"198612,0.12"
"198701,0.07"
"198702,0.04"
"198703,0.18"
"198704,0.12"
"198705,0.24"
"198706,0.25"
"198707,0.30"
"198708,0.37"
"198709,0.39"
"198710,0.35"
"198711,0.35"
"198712,0.33"
"198801,0.40"
"198802,0.38"
"198803,0.37"
"198804,0.32"
"198805,0.30"
"198806,0.26"
"198807,0.34"
"198808,0.28"
"198809,0.19"
"198810,0.13"
"198811,-0.03"
"198812,0.03"
"198901,-0.03"
"198902,0.19"
"198903,0.14"
"198904,0.23"
"198905,0.19"
"198906,0.28"
"198907,0.33"
"198908,0.33"
"198909,0.27"
"198910,0.19"
"198911,0.16"
"198912,0.20"
"199001,0.20"
"199002,0.21"
"199003,0.45"
"199004,0.45"
"199005,0.39"
"199006,0.35"
"199007,0.41"
"199008,0.41"
"199009,0.41"
"199010,0.41"
"199011,0.35"
"199012,0.27"
"199101,0.36"
"199102,0.32"
"199103,0.36"
"199104,0.40"
"199105,0.34"
"199106,0.38"
"199107,0.41"
"199108,0.33"
"199109,0.25"
"199110,0.19"
"199111,0.24"
"199112,0.17"
"199201,0.17"
"199202,0.20"
"199203,0.29"
"199204,0.20"
"199205,0.23"
"199206,0.24"
"199207,0.15"
"199208,0.07"
"199209,0.03"
"199210,-0.02"
"199211,-0.03"
"199212,0.05"
"199301,0.16"
"199302,0.19"
"199303,0.11"
"199304,0.21"
"199305,0.29"
"199306,0.27"
"199307,0.16"
"199308,0.09"
"199309,0.10"
"199310,0.07"
"199311,0.12"
"199312,0.11"
"199401,0.14"
"199402,0.19"
"199403,0.21"
"199404,0.29"
"199405,0.24"
"199406,0.27"
"199407,0.33"
"199408,0.36"
"199409,0.32"
"199410,0.41"
"199411,0.35"
"199412,0.36"
"199501,0.40"
"199502,0.43"
"199503,0.38"
"199504,0.45"
"199505,0.32"
"199506,0.38"
"199507,0.42"
"199508,0.47"
"199509,0.36"
"199510,0.36"
"199511,0.36"
"199512,0.31"
"199601,0.30"
"199602,0.32"
"199603,0.30"
"199604,0.29"
"199605,0.28"
"199606,0.32"
"199607,0.27"
"199608,0.34"
"199609,0.29"
"199610,0.16"
"199611,0.22"
"199612,0.24"
"199701,0.22"
"199702,0.30"
"199703,0.36"
"199704,0.35"
"199705,0.44"
"199706,0.50"
"199707,0.55"
"199708,0.54"
"199709,0.55"
"199710,0.56"
"199711,0.60"
"199712,0.52"
"199801,0.54"
"199802,0.52"
"199803,0.56"
"199804,0.57"
"199805,0.54"
"199806,0.63"
"199807,0.60"
"199808,0.61"
"199809,0.45"
"199810,0.40"
"199811,0.45"
"199812,0.38"
"199901,0.27"
"199902,0.31"
"199903,0.35"
"199904,0.30"
"199905,0.27"
"199906,0.27"
"199907,0.24"
"199908,0.29"
"199909,0.30"
"199910,0.25"
"199911,0.24"
"199912,0.22"
"200001,0.21"
"200002,0.35"
"200003,0.36"
"200004,0.35"
"200005,0.35"
"200006,0.31"
"200007,0.38"
"200008,0.43"
"200009,0.42"
"200010,0.38"
"200011,0.33"
"200012,0.35"
"200101,0.29"
"200102,0.32"
"200103,0.40"
"200104,0.37"
"200105,0.40"
"200106,0.46"
"200107,0.56"
"200108,0.55"
"200109,0.53"
"200110,0.53"
"200111,0.47"
"200112,0.49"
"200201,0.38"
"200202,0.36"
